Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Agra,"28,83,000","2,92,300","1,51,088"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Agra,"30,33,000","3,07,300","1,57,299"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Agra,"32,41,000","3,28,100","1,65,908"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Dehradun,"18,99,000","1,92,900","1,00,388"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Dehradun,"24,83,000","2,51,300","1,22,273"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Dehradun,"25,18,000","2,54,800","1,23,585"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Dehradun,"26,33,000","2,66,300","1,27,895"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Dehradun,"26,83,000","2,71,300","1,29,768"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Dehradun,"26,83,000","2,71,300","1,29,768"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Dehradun,"27,18,000","2,74,800","1,31,080"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Dehradun,"28,33,000","2,86,300","1,35,390"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Dehradun,"28,33,000","2,86,300","1,35,390"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Dehradun,"28,83,000","2,91,300","1,37,263"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Dehradun,"30,33,000","3,06,300","1,42,885"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Dehradun,"32,41,000","3,27,100","1,50,679"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Haldwani,"18,99,000","1,92,900","1,00,388"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Haldwani,"24,83,000","2,51,300","1,22,273"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Haldwani,"25,18,000","2,54,800","1,23,585"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Haldwani,"26,33,000","2,66,300","1,27,895"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Haldwani,"26,83,000","2,71,300","1,29,768"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Haldwani,"26,83,000","2,71,300","1,29,768"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Haldwani,"27,18,000","2,74,800","1,31,080"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Haldwani,"28,33,000","2,86,300","1,35,390"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Haldwani,"28,33,000","2,86,300","1,35,390"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Haldwani,"28,83,000","2,91,300","1,37,263"
