Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Gurgaon,"9,34,000","76,405","33,200",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus,Petrol,Gurgaon,"9,69,000","79,205","31,700",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus AMT,Petrol  Top Model,Gurgaon,"10,14,000","82,805","40,200",N/A
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Faridabad,"6,79,000","56,005","26,452",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Faridabad,"7,79,000","64,005","29,990",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Faridabad,"8,24,000","67,605","29,100",N/A
Maruti,Maruti Suzuki Dzire,ZXI CNG,CNG  Base Model,Faridabad,"8,44,250","69,225","24,798",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Faridabad,"8,89,000","72,805","32,500",N/A
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Top Model,Faridabad,"9,12,250","74,665","25,692",N/A
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Faridabad,"9,34,000","76,405","33,200",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus,Petrol,Faridabad,"9,69,000","79,205","31,700",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus AMT,Petrol  Top Model,Faridabad,"10,14,000","82,805","40,200",N/A
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Bahadurgarh,"6,78,742","54,299","37,034",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Bahadurgarh,"7,78,742","62,299","40,611",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Bahadurgarh,"8,23,742","65,899","42,221",N/A
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Base Model,Bahadurgarh,"8,73,742","69,899","44,009",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Bahadurgarh,"8,88,742","71,099","44,546",N/A
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Bahadurgarh,"9,33,742","74,699","46,156",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus,Petrol,Bahadurgarh,"9,68,741","77,499","47,408",N/A
Maruti,Maruti Suzuki Dzire,ZXI CNG,CNG  Top Model,Bahadurgarh,"9,83,742","78,699","47,944",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus AMT,Petrol  Top Model,Bahadurgarh,"10,13,742","81,099","49,017",N/A
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Kundli,"6,78,742","54,299","37,034",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Kundli,"7,78,742","62,299","40,611",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Kundli,"8,23,742","65,899","42,221",N/A
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Base Model,Kundli,"8,73,742","69,899","44,009",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Kundli,"8,88,742","71,099","44,546",N/A
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Kundli,"9,33,742","74,699","46,156",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus,Petrol,Kundli,"9,68,741","77,499","47,408",N/A
Maruti,Maruti Suzuki Dzire,ZXI CNG,CNG  Top Model,Kundli,"9,83,742","78,699","47,944",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus AMT,Petrol  Top Model,Kundli,"10,13,742","81,099","49,017",N/A
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Ballabhgarh,"6,79,400","54,352","37,058",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Ballabhgarh,"7,79,418","62,353","40,635",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Ballabhgarh,"8,24,418","65,953","42,245",N/A
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Base Model,Ballabhgarh,"8,74,419","69,953","44,034",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Ballabhgarh,"8,89,503","71,160","44,573",N/A
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Ballabhgarh,"9,34,504","74,760","46,183",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus,Petrol,Ballabhgarh,"9,69,504","77,560","47,435",N/A
Maruti,Maruti Suzuki Dzire,ZXI CNG,CNG  Top Model,Ballabhgarh,"9,84,504","78,760","47,972",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus AMT,Petrol  Top Model,Ballabhgarh,"10,14,504","81,160","49,045",N/A
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Greater Noida,"6,79,001","54,320","37,043",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Greater Noida,"7,79,000","62,320","40,620",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Greater Noida,"8,24,000","65,920","42,230",N/A
